#Parameters = {Wa=0.24; La=1.2; BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-152.97623436072
1.0240000000000	-152.73795085005
1.0480000000000	-152.15663076979
1.0720000000000	-151.51232900302
1.0960000000000	-151.08429885955
1.1200000000000	-151.02221496629
1.1440000000000	-151.34913479504
1.1680000000000	-151.95560314989
1.1920000000000	-152.56202090048
1.2160000000000	-152.79749011867
1.2400000000000	-152.54190144732
1.2640000000000	-152.08217956443
1.2880000000000	-151.78375285839
1.3120000000000	-151.83737108683
1.3360000000000	-152.22563976445
1.3600000000000	-152.69796097952
1.3840000000000	-152.80295193536
1.4080000000000	-152.27144074590
1.4320000000000	-151.36508118769
1.4560000000000	-150.51746998777
1.4800000000000	-149.95901835068
1.5040000000000	-149.70034045704
1.5280000000000	-149.59173418007
1.5520000000000	-149.38835221972
1.5760000000000	-148.90618983597
1.6000000000000	-148.18597613206
1.6240000000000	-147.43423636504
1.6480000000000	-146.83699130916
1.6720000000000	-146.47096556806
1.6960000000000	-146.30369389786
1.7200000000000	-146.21671839512
1.7440000000000	-146.05661349956
1.7680000000000	-145.73042553928
1.7920000000000	-145.27637837187
1.8160000000000	-144.82232433609
1.8400000000000	-144.48643423329
1.8640000000000	-144.31718924960
1.8880000000000	-144.28141746538
1.9120000000000	-144.27969669694
1.9360000000000	-144.19462690503
1.9600000000000	-143.96829605971
1.9840000000000	-143.64591963120
2.0080000000000	-143.33400964047
2.0320000000000	-143.12277997474
2.0560000000000	-143.03914093921
2.0800000000000	-143.03791492455
2.1040000000000	-143.02303769581
2.1280000000000	-142.90221326446
2.1520000000000	-142.65282399974
2.1760000000000	-142.33714702158
2.2000000000000	-142.04930009528
2.2240000000000	-141.85156759295
2.2480000000000	-141.74402090440
2.2720000000000	-141.66811765981
2.2960000000000	-141.53983702002
2.3200000000000	-141.30479405550
2.3440000000000	-140.97802326438
2.3680000000000	-140.62889092040
2.3920000000000	-140.32884197355
2.4160000000000	-140.10976735239
2.4400000000000	-139.95219638958
2.4640000000000	-139.79971453404
2.4880000000000	-139.59393457880
2.5120000000000	-139.31389493342
2.5360000000000	-138.98959633764
2.5600000000000	-138.67775081481
2.5840000000000	-138.42385508328
2.6080000000000	-138.23818593038
2.6320000000000	-138.09347847343
2.6560000000000	-137.94176191910
2.6800000000000	-137.74383698238
2.7040000000000	-137.49470042697
2.7280000000000	-137.22491890587
2.7520000000000	-136.97745952345
2.7760000000000	-136.78001885495
2.8000000000000	-136.63016115142
2.8240000000000	-136.49792603200
2.8480000000000	-136.34367161001
2.8720000000000	-136.14280177061
2.8960000000000	-135.90124462287
2.9200000000000	-135.64937028721
2.9440000000000	-135.42022274454
2.9680000000000	-135.22910473428
2.9920000000000	-135.06592596686
3.0160000000000	-134.90233446755
3.0400000000000	-134.70962122313
3.0640000000000	-134.47728402093
3.0880000000000	-134.21923758139
3.1120000000000	-133.96321781108
3.1360000000000	-133.73252571042
3.1600000000000	-133.53283181023
3.1840000000000	-133.35043559513
3.2080000000000	-133.16163869576
