#Parameters = {BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; La=6; Wa=0.24; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-139.95074628175
1.0240000000000	-139.48904138048
1.0480000000000	-138.98521344786
1.0720000000000	-138.39181506179
1.0960000000000	-137.77318466908
1.1200000000000	-137.24350669854
1.1440000000000	-136.89330066766
1.1680000000000	-136.75466704993
1.1920000000000	-136.79492828318
1.2160000000000	-136.92404255854
1.2400000000000	-137.02546331106
1.2640000000000	-137.01980099632
1.2880000000000	-136.92065827151
1.3120000000000	-136.81935752593
1.3360000000000	-136.81338564297
1.3600000000000	-136.94471054039
1.3840000000000	-137.17242639140
1.4080000000000	-137.37897268146
1.4320000000000	-137.42796077124
1.4560000000000	-137.26497123416
1.4800000000000	-136.96183659321
1.5040000000000	-136.64387879624
1.5280000000000	-136.39141102113
1.5520000000000	-136.19870163804
1.5760000000000	-135.98957092683
1.6000000000000	-135.67474296962
1.6240000000000	-135.22361080953
1.6480000000000	-134.68886555503
1.6720000000000	-134.16061221517
1.6960000000000	-133.70496584754
1.7200000000000	-133.33540954858
1.7440000000000	-133.01783195127
1.7680000000000	-132.69708813468
1.7920000000000	-132.33352634507
1.8160000000000	-131.92863116293
1.8400000000000	-131.52034531136
1.8640000000000	-131.15465233578
1.8880000000000	-130.85799677840
1.9120000000000	-130.62571987206
1.9360000000000	-130.42754726651
1.9600000000000	-130.22591840869
1.9840000000000	-129.99857787547
2.0080000000000	-129.75131616018
2.0320000000000	-129.51141350723
2.0560000000000	-129.30786943111
2.0800000000000	-129.15312039566
2.1040000000000	-129.03598161967
2.1280000000000	-128.92783579403
2.1520000000000	-128.79894744836
2.1760000000000	-128.63606180976
2.2000000000000	-128.44908266743
2.2240000000000	-128.26171058330
2.2480000000000	-128.09387357205
2.2720000000000	-127.94842392764
2.2960000000000	-127.80930872925
2.3200000000000	-127.65149447521
2.3440000000000	-127.45694598701
2.3680000000000	-127.22618362847
2.3920000000000	-126.97688763772
2.4160000000000	-126.73126572344
2.4400000000000	-126.50220865572
2.4640000000000	-126.28699940609
2.4880000000000	-126.07108602822
2.5120000000000	-125.83889864722
2.5360000000000	-125.58484748268
2.5600000000000	-125.31715367716
2.5840000000000	-125.05223831838
2.6080000000000	-124.80439998220
2.6320000000000	-124.57789744884
2.6560000000000	-124.36567116645
2.6800000000000	-124.15469413398
2.7040000000000	-123.93452417321
2.7280000000000	-123.70374022249
2.7520000000000	-123.47014418437
2.7760000000000	-123.24498783886
2.8000000000000	-123.03551780181
2.8240000000000	-122.84057713137
2.8480000000000	-122.65152506553
2.8720000000000	-122.45761296852
2.8960000000000	-122.25246679237
2.9200000000000	-122.03754665907
2.9440000000000	-121.82041854938
2.9680000000000	-121.60931480872
2.9920000000000	-121.40778168657
3.0160000000000	-121.21266701297
3.0400000000000	-121.01636729039
3.0640000000000	-120.81175500720
3.0880000000000	-120.59663016300
3.1120000000000	-120.37483708014
3.1360000000000	-120.15348758658
3.1600000000000	-119.93837640664
3.1840000000000	-119.73060874622
3.2080000000000	-119.52635454824
3.2320000000000	-119.31963342068
3.2560000000000	-119.10627514573
3.2800000000000	-118.88652963736
3.3040000000000	-118.66472297538
3.3280000000000	-118.44637375360
3.3520000000000	-118.23479420826
3.3760000000000	-118.02930201766
3.4000000000000	-117.82598081414
3.4240000000000	-117.62036513628
3.4480000000000	-117.41031480228
3.4720000000000	-117.19727635106
3.4960000000000	-116.98522333491
3.5200000000000	-116.77810408647
3.5440000000000	-116.57749476283
3.5680000000000	-116.38186002983
3.5920000000000	-116.18774447079
3.6160000000000	-115.99206138755
3.6400000000000	-115.79402120510
3.6640000000000	-115.59551347937
3.6880000000000	-115.39978903017
3.7120000000000	-115.20937534146
3.7360000000000	-115.02455690262
3.7600000000000	-114.84329665693
3.7840000000000	-114.66255728435
3.8080000000000	-114.48015152144
3.8320000000000	-114.29596004042
3.8560000000000	-114.11178954889
3.8800000000000	-113.93003726478
3.9040000000000	-113.75206810535
3.9280000000000	-113.57732078685
3.9520000000000	-113.40364420412
3.9760000000000	-113.22859787718
4.0000000000000	-113.05087789483
4.0240000000000	-112.87097998402
4.0480000000000	-112.69072368894
4.0720000000000	-112.51199987910
4.0960000000000	-112.33556602108
4.1200000000000	-112.16062447849
4.1440000000000	-111.98539390752
4.1680000000000	-111.80827110651
4.1920000000000	-111.62883708908
4.2160000000000	-111.44808729265
4.2400000000000	-111.26778107850
4.2640000000000	-111.08936399108
4.2880000000000	-110.91315049669
4.3120000000000	-110.73824762562
4.3360000000000	-110.56322144285
4.3600000000000	-110.38705907664
4.3840000000000	-110.20981891296
4.4080000000000	-110.03258189311
4.4320000000000	-109.85677224008
4.4560000000000	-109.68330359242
4.4800000000000	-109.51208376043
4.5040000000000	-109.34215877000
4.5280000000000	-109.17237455011
4.5520000000000	-109.00212701742
4.5760000000000	-108.83173616012
4.6000000000000	-108.66223294867
4.6240000000000	-108.49472236439
4.6480000000000	-108.32973718924
4.6720000000000	-108.16697661407
4.6960000000000	-108.00556683233
4.7200000000000	-107.84465804914
4.7440000000000	-107.68397662783
4.7680000000000	-107.52399494862
4.7920000000000	-107.36563235983
4.8160000000000	-107.20969399623
4.8400000000000	-107.05640327026
4.8640000000000	-106.90530651115
4.8880000000000	-106.75558840203
4.9120000000000	-106.60658686356
4.9360000000000	-106.45818387244
4.9600000000000	-106.31083802982
4.9840000000000	-106.16525548241
5.0080000000000	-106.02191852962
5.0320000000000	-105.88076722353
5.0560000000000	-105.74122132004
5.0800000000000	-105.60251491145
5.1040000000000	-105.46412730230
