#Parameters = {Wa=0.24; La=3; BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-130.24089555071
1.0240000000000	-129.84931003985
1.0480000000000	-129.48261423896
1.0720000000000	-129.19649173082
1.0960000000000	-129.03827310604
1.1200000000000	-129.02784651380
1.1440000000000	-129.14990831602
1.1680000000000	-129.35613279009
1.1920000000000	-129.58051353207
1.2160000000000	-129.76990862532
1.2400000000000	-129.91527194060
1.2640000000000	-130.05592160263
1.2880000000000	-130.24909147821
1.3120000000000	-130.52696517008
1.3360000000000	-130.86377934452
1.3600000000000	-131.16608528132
1.3840000000000	-131.30670566998
1.4080000000000	-131.20824866816
1.4320000000000	-130.90539786824
1.4560000000000	-130.50579420677
1.4800000000000	-130.09964061317
1.5040000000000	-129.71062094936
1.5280000000000	-129.30430819600
1.5520000000000	-128.83086776517
1.5760000000000	-128.27283594666
1.6000000000000	-127.66313064359
1.6240000000000	-127.06202203053
1.6480000000000	-126.52024516257
1.6720000000000	-126.05694050381
1.6960000000000	-125.65805563051
1.7200000000000	-125.28938510663
1.7440000000000	-124.91750485999
1.7680000000000	-124.52894735788
1.7920000000000	-124.13608195607
1.8160000000000	-123.76648438897
1.8400000000000	-123.44500355389
1.8640000000000	-123.18035139077
1.8880000000000	-122.96177810113
1.9120000000000	-122.76568690475
1.9360000000000	-122.56881101955
1.9600000000000	-122.36121735215
1.9840000000000	-122.15101262886
2.0080000000000	-121.95763283390
2.0320000000000	-121.79881934048
2.0560000000000	-121.67962019081
2.0800000000000	-121.58885918324
2.1040000000000	-121.50433341291
2.1280000000000	-121.40434484020
2.1520000000000	-121.27928367894
2.1760000000000	-121.13550540596
2.2000000000000	-120.98860392385
2.2240000000000	-120.85112810179
2.2480000000000	-120.72304715325
2.2720000000000	-120.59046569426
2.2960000000000	-120.43323116051
2.3200000000000	-120.23713915121
2.3440000000000	-120.00276409507
2.3680000000000	-119.74452913899
2.3920000000000	-119.48112231192
2.4160000000000	-119.22463385906
2.4400000000000	-118.97527512472
2.4640000000000	-118.72388866783
2.4880000000000	-118.45997712417
2.5120000000000	-118.18006354135
2.5360000000000	-117.89098483137
2.5600000000000	-117.60625030733
2.5840000000000	-117.33848567474
2.6080000000000	-117.09302654616
2.6320000000000	-116.86609698076
2.6560000000000	-116.64805022882
2.6800000000000	-116.42958663418
2.7040000000000	-116.20728640869
2.7280000000000	-115.98510912783
2.7520000000000	-115.77111910093
2.7760000000000	-115.57183309423
2.8000000000000	-115.38779651460
2.8240000000000	-115.21285157334
2.8480000000000	-115.03734711213
