#Parameters = {Wa=0.24; La=12; BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-101.70906415230
1.0240000000000	-100.16822918216
1.0480000000000	-98.922020077135
1.0720000000000	-98.041347225394
1.0960000000000	-97.491510015304
1.1200000000000	-97.182698139241
1.1440000000000	-96.995221953526
1.1680000000000	-96.814563350057
1.1920000000000	-96.579922300038
1.2160000000000	-96.307989149193
1.2400000000000	-96.061731422503
1.2640000000000	-95.892175910841
1.2880000000000	-95.796948003275
1.3120000000000	-95.711487915258
1.3360000000000	-95.538188859679
1.3600000000000	-95.210095870483
1.3840000000000	-94.743280547612
1.4080000000000	-94.221487740101
1.4320000000000	-93.733441698913
1.4560000000000	-93.325975947601
1.4800000000000	-92.994242428984
1.5040000000000	-92.697376175013
1.5280000000000	-92.388057765614
1.5520000000000	-92.043381780909
1.5760000000000	-91.678115201916
1.6000000000000	-91.331299552321
1.6240000000000	-91.039466267178
1.6480000000000	-90.816031482200
1.6720000000000	-90.645440511516
1.6960000000000	-90.491713365511
1.7200000000000	-90.317574431437
1.7440000000000	-90.104841698337
1.7680000000000	-89.862289592587
1.7920000000000	-89.614959800734
1.8160000000000	-89.384184431002
1.8400000000000	-89.172841500731
1.8640000000000	-88.963752766371
1.8880000000000	-88.731058265496
1.9120000000000	-88.457848813753
1.9360000000000	-88.148371415303
1.9600000000000	-87.825906522716
1.9840000000000	-87.518942721368
2.0080000000000	-87.246501091851
2.0320000000000	-87.011038075362
2.0560000000000	-86.800745506627
2.0800000000000	-86.598609133368
2.1040000000000	-86.393020318211
2.1280000000000	-86.183725983774
2.1520000000000	-85.979551882283
2.1760000000000	-85.790002897961
2.2000000000000	-85.616710474708
2.2240000000000	-85.450045247639
2.2480000000000	-85.272878731669
2.2720000000000	-85.069559334893
2.2960000000000	-84.834716948863
2.3200000000000	-84.575964581156
2.3440000000000	-84.308817955650
2.3680000000000	-84.047898336782
2.3920000000000	-83.800309296609
2.4160000000000	-83.564480347412
2.4400000000000	-83.334080795356
2.4640000000000	-83.104010708473
2.4880000000000	-82.874601641693
2.5120000000000	-82.651478829935
2.5360000000000	-82.441502324894
2.5600000000000	-82.247676471401
2.5840000000000	-82.066226738304
2.6080000000000	-81.887528627436
2.6320000000000	-81.700413905743
2.6560000000000	-81.497442021155
2.6800000000000	-81.277974582939
2.7040000000000	-81.047229884390
2.7280000000000	-80.812252098964
2.7520000000000	-80.577670371680
2.7760000000000	-80.343843334991
2.8000000000000	-80.108139344403
2.8240000000000	-79.868128650007
2.8480000000000	-79.624407376235
2.8720000000000	-79.381164978419
2.8960000000000	-79.144210265322
2.9200000000000	-78.917839391721
2.9440000000000	-78.702508602150
2.9680000000000	-78.494608964534
2.9920000000000	-78.288370577094
3.0160000000000	-78.078749357664
3.0400000000000	-77.863615015986
3.0640000000000	-77.644020737610
3.0880000000000	-77.422591106281
3.1120000000000	-77.201249378204
3.1360000000000	-76.979792789260
3.1600000000000	-76.756137361493
3.1840000000000	-76.527946156834
3.2080000000000	-76.294503813368
3.2320000000000	-76.057590193296
3.2560000000000	-75.820805108908
3.2800000000000	-75.587820115675
3.3040000000000	-75.360662828477
3.3280000000000	-75.139015319090
3.3520000000000	-74.920830254605
3.3760000000000	-74.703796593338
3.4000000000000	-74.486735304684
3.4240000000000	-74.270108885488
3.4480000000000	-74.055423349446
3.4720000000000	-73.844000887217
3.4960000000000	-73.635947436082
3.5200000000000	-73.429949913986
3.5440000000000	-73.223988014747
3.5680000000000	-73.016484940959
3.5920000000000	-72.807171409672
3.6160000000000	-72.597142436312
3.6400000000000	-72.388112865359
3.6640000000000	-72.181371846689
3.6880000000000	-71.977082185192
3.7120000000000	-71.774313352517
3.7360000000000	-71.571733379936
3.7600000000000	-71.368498393051
3.7840000000000	-71.164786983348
3.8080000000000	-70.961675650803
3.8320000000000	-70.760475451360
3.8560000000000	-70.561970387572
3.8800000000000	-70.366022316146
3.9040000000000	-70.171750173321
3.9280000000000	-69.978131942453
3.9520000000000	-69.784631965469
3.9760000000000	-69.591462758683
4.0000000000000	-69.399337256306
4.0240000000000	-69.208891757676
4.0480000000000	-69.020153931085
4.0720000000000	-68.832383517847
4.0960000000000	-68.644373340725
4.1200000000000	-68.455019616309
4.1440000000000	-68.263818394644
4.1680000000000	-68.071006080597
4.1920000000000	-67.877293073892
4.2160000000000	-67.683388706722
4.2400000000000	-67.489624580314
4.2640000000000	-67.295895219448
4.2880000000000	-67.101920467228
4.3120000000000	-66.907632524615
4.3360000000000	-66.713422626241
4.3600000000000	-66.520082580159
4.3840000000000	-66.328474435024
4.4080000000000	-66.139128590070
4.4320000000000	-65.952006118695
4.4560000000000	-65.766554002148
4.4800000000000	-65.582006440667
4.5040000000000	-65.397747859468
4.5280000000000	-65.213531763209
4.5520000000000	-65.029451751162
4.5760000000000	-64.845719099208
4.6000000000000	-64.662414904245
4.6240000000000	-64.479386465404
4.6480000000000	-64.296353883719
4.6720000000000	-64.113153911447
4.6960000000000	-63.929960636372
4.7200000000000	-63.747338146725
4.7440000000000	-63.566085245396
4.7680000000000	-63.386957620162
4.7920000000000	-63.210420540739
4.8160000000000	-63.036558371991
4.8400000000000	-62.865169161872
4.8640000000000	-62.695965909863
4.8880000000000	-62.528753350982
4.9120000000000	-62.363477713741
4.9360000000000	-62.200135205295
4.9600000000000	-62.038616189000
4.9840000000000	-61.878600266071
5.0080000000000	-61.719582149268
5.0320000000000	-61.561024257075
5.0560000000000	-61.402552153760
5.0800000000000	-61.244081725584
5.1040000000000	-61.085807739839
5.1280000000000	-60.928065424960
5.1520000000000	-60.771148275434
5.1760000000000	-60.615183507682
5.2000000000000	-60.460123859832
5.2240000000000	-60.305840419631
5.2480000000000	-60.152242114627
5.2720000000000	-59.999337914649
5.2960000000000	-59.847200751684
5.3200000000000	-59.695858622564
5.3440000000000	-59.545186105521
5.3680000000000	-59.394869901330
5.3920000000000	-59.244476666148
5.4160000000000	-59.093589529315
5.4400000000000	-58.941939241353
5.4640000000000	-58.789460776634
5.4880000000000	-58.636252132400
5.5120000000000	-58.482469565592
5.5360000000000	-58.328227020263
5.5600000000000	-58.173557999545
5.5840000000000	-58.018454110155
5.6080000000000	-57.862944948406
5.6320000000000	-57.707159565546
5.6560000000000	-57.551324187772
5.6800000000000	-57.395693377609
5.7040000000000	-57.240454738273
5.7280000000000	-57.085663994252
5.7520000000000	-56.931248706384
5.7760000000000	-56.777077794409
5.8000000000000	-56.623056096465
5.8240000000000	-56.469190963362
5.8480000000000	-56.315597558648
5.8720000000000	-56.162447756175
5.8960000000000	-56.009900224986
5.9200000000000	-55.858056983586
5.9440000000000	-55.706971260224
5.9680000000000	-55.556697057448
5.9920000000000	-55.407344201898
6.0160000000000	-55.259099808858
6.0400000000000	-55.112198745027
6.0640000000000	-54.966857556464
6.0880000000000	-54.823208536592
6.1120000000000	-54.681270070192
6.1360000000000	-54.540967416204
6.1600000000000	-54.402188736370
6.1840000000000	-54.264842183900
6.2080000000000	-54.128882025285
6.2320000000000	-53.994292783636
6.2560000000000	-53.861046714023
6.2800000000000	-53.729065364274
6.3040000000000	-53.598211682923
6.3280000000000	-53.468318635577
6.3520000000000	-53.339236785764
6.3760000000000	-53.210871306674
6.4000000000000	-53.083185447431
6.4240000000000	-52.956168067520
6.4480000000000	-52.829784490836
6.4720000000000	-52.703939400017
6.4960000000000	-52.578472465837
6.5200000000000	-52.453187368785
6.5440000000000	-52.327895339578
6.5680000000000	-52.202447064820
6.5920000000000	-52.076735682806
