#Parameters = {Wa=0.24; La=4; BoxHeight=30.534351145038; BoxThickness=0.1; BoxWidth=72; L=5.089058524173; c=300000000; d=6; f=12.5; g=0.48; lam=24; r=0.24}
#"Frequency / GHz"	"E-Field (120 0 0)(Z) [1[1,0]+2[1,0],[12.5]] [Magnitude]"
#---------------------------------------------------------------------------
1.0000000000000	-123.26196713908
1.0240000000000	-124.48224200994
1.0480000000000	-125.06630869666
1.0720000000000	-124.98928044160
1.0960000000000	-124.86312301396
1.1200000000000	-125.26983070530
1.1440000000000	-126.60286543989
1.1680000000000	-129.28034362402
1.1920000000000	-133.66738784448
1.2160000000000	-135.15701401419
1.2400000000000	-130.80763452550
1.2640000000000	-127.75908534589
1.2880000000000	-126.22222145060
1.3120000000000	-125.66853759257
1.3360000000000	-125.53993792813
1.3600000000000	-125.08941305620
1.3840000000000	-123.86745591671
1.4080000000000	-122.25756767026
1.4320000000000	-120.83215500648
1.4560000000000	-119.85809894088
1.4800000000000	-119.37694360183
1.5040000000000	-119.30792420924
1.5280000000000	-119.45878274647
1.5520000000000	-119.53234901273
1.5760000000000	-119.27434510482
1.6000000000000	-118.70716109471
1.6240000000000	-118.09204214192
1.6480000000000	-117.68013597166
1.6720000000000	-117.59159474093
1.6960000000000	-117.81165630631
1.7200000000000	-118.18851647770
1.7440000000000	-118.44801398711
1.7680000000000	-118.34959927667
1.7920000000000	-117.92378345165
1.8160000000000	-117.43286692784
1.8400000000000	-117.11915550792
1.8640000000000	-117.07955481738
1.8880000000000	-117.25662713655
1.9120000000000	-117.45072329283
1.9360000000000	-117.40311105306
1.9600000000000	-117.00663700490
1.9840000000000	-116.41549239119
2.0080000000000	-115.87583985506
2.0320000000000	-115.54143416149
2.0560000000000	-115.42888908383
2.0800000000000	-115.43296510212
2.1040000000000	-115.37083020838
2.1280000000000	-115.09352273205
2.1520000000000	-114.61071388928
2.1760000000000	-114.07291349218
2.2000000000000	-113.63824716767
2.2240000000000	-113.38291654729
2.2480000000000	-113.28475569052
2.2720000000000	-113.24063552651
2.2960000000000	-113.11682568960
2.3200000000000	-112.83669390407
2.3440000000000	-112.43993867470
2.3680000000000	-112.04289240164
2.3920000000000	-111.75049600080
2.4160000000000	-111.60232612771
2.4400000000000	-111.56219009982
2.4640000000000	-111.53641605956
2.4880000000000	-111.42379502122
2.5120000000000	-111.18434110724
